valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,artists_song
285,2000,239,Coldplay,429,266773,6.609.999.999.999.990,0,3AJwUDP919kvQ9QcozQPxg,121,11,234,-7.227,1,Yellow,84,281,173.372,Coldplay - Yellow
613,2000,143,OutKast,843,270507,8.059.999.999.999.990,1,0I3q5fE6wg7LIfHGngUTnV,0.0,4,771,-59.460.000.000.000.000,0,Ms. Jackson,80,269,94.948,OutKast - Ms. Jackson
0.4,2000,958,Linkin Park,556,216880,8.640.000.000.000.000,0,60a0Rd6pjrkxjPbaKzXjfq,0.0,3,209,-5.87,0,In the End,84,584,105.143,Linkin Park - In the End
5.429.999.999.999.990,2000,664,3 Doors Down,545,233933,865,0,6ZOBP3NvffbU4SZcrnt1k6,1.1e-05,11,168,-57.079.999.999.999.900,0,Kryptonite,78,286,99.009,3 Doors Down - Kryptonite
0.76,2000,302,Eminem,949,284200,6.609.999.999.999.990,1,3yfqSUWxFvZELEM4PmlwIR,0.0,5,454,-4.244,0,The Real Slim Shady,80,572,104.504,Eminem - The Real Slim Shady
941,2000,996,Disturbed,695,279213,8.759.999.999.999.990,1,40rvBMQizxkIqnjPdEWY1v,6.89e-06,3,106,-4.262,0,Down with the Sickness,76,553,89.954,Disturbed - Down with the Sickness
722,2000,616,Nelly,0.85,291782,0.7,1,3Gf5nttwcX9aaSQXRWidEZ,1.8e-06,7,244,-6.49,1,Ride Wit Me,74,478,101.875,Nelly - Ride Wit Me
507,2000,371,Eminem,0.78,404107,768,1,3UmaczJpikHgJFyBTAJVoz,2.34e-06,6,518,-4.325,0,Stan,78,238,80.063,Eminem - Stan
861,2000,31,*NSYNC,0.61,200400,926,0,62bOmKYxYg7dhrC6gH9vFn,12,8,821,-4.843,0,Bye Bye Bye,71,479,172.638,*NSYNC - Bye Bye Bye
894,2000,0.3,Britney Spears,7.509.999.999.999.990,211160,8.340.000.000.000.000,0,6naxalmIoLFWR0siv8dnQQ,1.77e-05,1,355,-5.444,0,Oops!...I Did It Again,78,437,95.053,Britney Spears - Oops!...I Did It Again
165,2000,748,Coldplay,371,227093,268,0,7D0RhFcb3CrfPuTJ0obrod,517,1,104,-10.505.999.999.999.900,1,Sparks,73,281,102.617,Coldplay - Sparks
5.379.999.999.999.990,2000,14,Linkin Park,4.920.000.000.000.000,157333,969,0,3K4HG9evC7dg3N0R9cYqk4,1.32e-06,9,787,-4.419,1,One Step Closer,76,491,95.136,Linkin Park - One Step Closer
654,2000,561,Shaggy,853,227600,606,0,3WkibOpDF7cQ5xntM1epyf,0.0,0,313,-4.596,1,It Wasn't Me,76,713,94.759,Shaggy - It Wasn't Me
565,2000,689,Nelly,865,287000,664,1,3wMUvT6eIw2L5cZFG1yH9j,0.0,2,142,-6.822,1,Country Grammar (Hot Shit),70,108,16.283.100.000.000.000,Nelly - Country Grammar (Hot Shit)
