mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
1,21st century classical,9.793.333.333.333.330,16.288.333.333.333.300,16.029.766.666.666.600,7.131.666.666.666.660,60.683.367,3.616,-31.514.333.333.333.300,4.056.666.666.666.660,753.365,10.378.333.333.333.300,2.783.333.333.333.330,6
1,432hz,49.478,2.993.333.333.333.330,1.048.887.333.333.330,4.506.783.333.333.330,4.777.616.666.666.660,131,-16.854,7.681.666.666.666.660,12.028.566.666.666.600,22.175,52.5,5
1,8-bit,762,7.120.000.000.000.000,115177.0,818,8.759.999.999.999.990,126,-9.18,47,133.444,975,48.0,7
1,[],6.514.170.195.595.450,5.290.925.603.549.330,2.328.808.902.503.940,4.191.460.727.353.520,2.053.091.895.111.360,21.869.585.415.040.700,-12.288.964.675.489.400,10.787.155.868.681.300,1.128.573.524.318.410,5.136.042.963.588.950,20.859.882.191.849.000,7
1,a cappella,676.557.304.985.755,5.389.612.464.387.460,1.906.285.408.867.520,3.164.335.701.566.950,3.003.441.440.420.220,1.722.541.371.082.620,-12.479.387.421.652.400,8.285.143.981.481.480,1.121.103.620.014.240,44.824.865.455.840.400,4.582.007.122.507.120,7
1,abstract,45.921,5.161.666.666.666.660,343196.5,4.424.166.666.666.660,8.496.666.666.666.660,1.180.666.666.666.660,-15.472.083.333.333.300,46.516.666.666.666.600,12.788.575.000.000.000,307.325,43.5,1
1,abstract beats,3.421.466.666.666.660,623,229936.2,5.277.999.999.999.990,3.336.026.120.000.000,9.965.333.333.333.330,-7.918.000.000.000.000,11.637.333.333.333.300,1.124.138,4.935.066.666.666.660,5.893.333.333.333.330,10
1,abstract hip hop,2.438.540.633.608.810,6.945.709.366.391.180,23.184.923.415.977.900,6.462.346.418.732.780,242.312.629.201.102,1.685.429.201.101.920,-7.349.327.823.691.460,21.425.769.972.451.700,10.824.498.650.137.700,5.713.909.090.909.090,3.979.070.247.933.880,2
0,accordeon,32.299.999.999.999.900,588,164000.0,392,441,794,-14.899,727,109.131,7.090.000.000.000.000,39.0,2
1,accordion,446.125,6.248.125,1.670.615.625,3.734.375,19.373.839.375,1.603,-144.870.625,7.853.750.000.000.000,1.128.724.375,6.586.875.000.000.000,219.375,2
0,acid house,6.795.053.846.153.840,6.774,29.718.805.384.615.300,7.244.030.769.230.760,3.858.910.307.692.300,2.334.884.615.384.610,-9.381.199.999.999.990,5.585.538.461.538.460,12.649.209.230.769.200,5.676.769.230.769.230,4.663.846.153.846.150,7
1,acid rock,2.569.145.079.725.160,4.472.389.930.828.890,2.592.039.143.310.260,5.806.492.948.018.790,15.092.567.737.840.100,2.304.514.628.310.570,-1.143.307.330.938.880,6.759.985.278.233.480,12.565.952.227.133.600,5.344.474.777.454.790,3.267.595.532.906.280,2
1,acid trance,683,6.629.999.999.999.990,221160.0,925,703,185,-6.775,449,132.687,843,62.0,9
1,acousmatic,9.170.191.062.801.930,4.204.582.850.241.540,1.850.402.595.531.400,2.385.243.417.874.390,6.162.484.134.359.900,2.610.061.823.671.490,-2.096.456.474.637.680,8.061.773.913.043.470,10.407.463.265.700.400,3.244.473.852.657.000,9.342.524.154.589.370,5
1,acoustic blues,761.723.539.455.837,6.069.147.720.232.640,20.432.125.087.923.200,3.606.592.945.953.490,9.891.813.613.614.230,18.309.821.355.287.100,-1.255.490.505.937.250,6.881.536.422.902.220,11.328.452.122.830.300,633.785.722.320.662,2.374.606.007.693.050,7
1,acoustic pop,4.902.350.260.381.980,5.351.083.171.521.530,23.537.978.355.519.000,4.764.399.220.103.090,33.338.280.109.024.700,1.577.504.987.283.950,-9.297.247.893.173.360,4.177.066.481.431.850,11.788.741.975.150.800,3.794.153.530.026.800,5.311.550.474.564.840,7
1,acoustic punk,4.049.000.220.385.670,5.391.115.702.479.330,19.233.211.845.730.000,6.158.241.505.968.770,61.939.951.303.948.500,20.948.062.442.607.800,-8.010.774.104.683.190,6.357.052.341.597.790,12.230.848.852.157.900,7.305.188.246.097.330,4.037.649.219.467.400,9
1,acoustic rock,6.132.007.936.507.930,5.243.968.253.968.250,195036.0,4.160.026.455.026.450,32.147.492.174.603.100,14.051.838.624.338.600,-1.054.062.037.037.030,3.468.108.465.608.460,1.226.556.626.984.120,3.802.986.772.486.770,5.110.978.835.978.830,7
0,action rock,229,412,198400.0,938,259,106,-253,182,97.489,0.32,47.0,4
1,adoracion,4.328.571.428.571.420,5.047.142.857.142.850,3.029.060.714.285.710,5.207.499.999.999.990,0.0,31.598.571.428.571.400,-8.010.071.428.571.420,38.203.571.428.571.400,1.307.106.785.714.280,3.115.714.285.714.280,4.639.285.714.285.710,9
1,adult standards,6.556.483.763.400.990,4.963.276.348.996.660,19.733.150.159.436.000,38.205.358.211.294.400,1.181.935.743.093.190,19.677.674.369.326.400,-12.221.776.284.593.900,5.315.781.803.767.930,11.338.117.658.884.200,4.993.761.805.789.750,3.163.490.210.889.540,0
1,adventista,7.841.433.333.333.330,5.315,202876.65,3.193.833.333.333.330,"7,45E+09",14.129,-9.338.766.666.666.660,28.986.666.666.666.600,11.338.845,5.145.166.666.666.660,27.266.666.666.666.600,6
